years,temp
20220905T0200,75.64635
20220905T0300,75.30435
20220905T0400,74.98035
20220905T0500,74.71035
20220905T0600,73.93635
20220905T0700,74.78235
20220905T0800,75.61035
20220905T0900,75.97035
20220905T1000,77.28435
20220905T1100,76.06035
20220905T1200,76.34834
20220905T1300,76.11435
20220905T1400,75.538345
20220905T1500,75.08835
20220905T1600,74.53035
20220905T1700,74.69235
20220905T1800,73.594345
20220905T1900,72.928345
20220905T2000,73.270355
20220905T2100,74.22435
20220905T2200,74.69235
20220905T2300,73.77435
20220906T0000,72.82035
20220906T0100,72.04635
20220906T0200,72.28035
20220906T0300,72.622345
20220906T0400,72.55035
20220906T0500,72.04635
20220906T0600,72.262344
20220906T0700,75.16035
20220906T0800,78.400345
20220906T0900,80.92035
20220906T1000,82.846344
20220906T1100,84.01635
20220906T1200,84.66435
20220906T1300,84.70035
20220906T1400,84.28635
20220906T1500,79.08435
20220906T1600,76.90634
20220906T1700,76.47435
20220906T1800,75.01635
20220906T1900,73.91835
20220906T2000,74.13435
20220906T2100,74.76435
20220906T2200,75.80835
20220906T2300,75.55635
20220907T0000,74.89035
20220907T0100,74.45835
20220907T0200,74.65635
20220907T0300,72.964355
20220907T0400,72.44235
20220907T0500,73.45035
20220907T0600,73.99035
20220907T0700,75.75435
20220907T0800,77.24835
20220907T0900,78.00435
20220907T1000,79.35435
20220907T1100,78.13035
20220907T1200,76.510345
20220907T1300,76.40234
20220907T1400,75.50235
20220907T1500,75.95235
20220907T1600,75.70035
20220907T1700,75.124344
20220907T1800,73.91835
20220907T1900,73.00035
20220907T2000,73.07235
20220907T2100,72.49635
20220907T2200,73.07235
20220907T2300,73.25235
20210825T0000,72.964355
20210825T0100,73.30635
20210825T0200,73.234344
20210825T0300,72.89235
20210825T0400,72.40635
20210825T0500,72.06435
20210825T0600,74.40435
20210825T0700,76.29434
20210825T0800,79.21035
20210825T0900,82.36035
20210825T1000,85.40234
20210825T1100,87.67035
20210825T1200,89.038345
20210825T1300,88.80435
20210825T1400,86.93234
20210825T1500,83.40434
20210825T1600,81.58635
20210825T1700,81.29835
20210825T1800,79.19235
20210825T1900,75.57435
20210825T2000,74.872345
20210825T2100,74.60235
20210825T2200,75.01635
20210825T2300,75.68234
20210826T0000,75.21435
20210826T0100,74.54835
20210826T0200,73.30635
20210826T0300,73.216354
20210826T0400,73.270355
20210826T0500,72.46035
20210826T0600,69.94035
20210826T0700,73.73834
20210826T0800,76.11435
20210826T0900,77.93234
20210826T1000,79.89435
20210826T1100,81.33435
20210826T1200,81.874344
20210826T1300,77.89635
20210826T1400,77.80635
20210826T1500,77.80635
20210826T1600,75.98834
20210826T1700,74.872345
20210826T1800,73.43234
20210826T1900,72.29835
20210826T2000,72.15435
20210826T2100,71.97435
20210826T2200,71.79434
20210826T2300,71.344345
20210827T0000,69.95835
20210827T0100,69.61635
20210827T0200,69.36435
20210827T0300,69.076355
20210827T0400,68.716354
20210827T0500,68.41035
